config,seed,layer,relative_residual,mean_cosine
residual,1,18,0.7770779728889465,0.3764616549015045
residual,1,19,0.7743131518363953,0.4016984701156616
residual,1,20,0.7534770369529724,0.42291060090065
residual,1,21,0.7407792806625366,0.4401932954788208
residual,1,22,0.7294061779975891,0.46580615639686584
residual,1,23,0.7194569110870361,0.4776621162891388
residual,1,24,0.7111822366714478,0.48973554372787476
residual,2,0,0.9333580732345581,0.002985106548294425
residual,2,1,0.9123283624649048,0.017398949712514877
residual,2,2,0.9320054650306702,0.038375191390514374
residual,2,3,0.911474347114563,0.05573321506381035
residual,2,4,0.907558023929596,0.07814818620681763
residual,2,5,0.9007948637008667,0.09504829347133636
residual,2,6,0.8909260034561157,0.10866264998912811
residual,2,7,0.8604544401168823,0.12907488644123077
residual,2,8,0.8476504683494568,0.15209604799747467
residual,2,9,0.8627008199691772,0.1650400012731552
residual,2,10,0.8479383587837219,0.1819237619638443
residual,2,11,0.826353907585144,0.20051398873329163
residual,2,12,0.796295702457428,0.22262820601463318
residual,2,13,0.8093643188476562,0.25549939274787903
residual,2,14,0.7922651767730713,0.27689605951309204
residual,2,15,0.79422926902771,0.2917563319206238
residual,2,16,0.7724159955978394,0.3234859108924866
residual,2,17,0.7700666189193726,0.3445517122745514
residual,2,18,0.7573283910751343,0.35593467950820923
residual,2,19,0.7487754225730896,0.38196927309036255
residual,2,20,0.747424840927124,0.3983922302722931
residual,2,21,0.7147495746612549,0.4376550316810608
residual,2,22,0.7036339044570923,0.45163989067077637
residual,2,23,0.7013500332832336,0.4683508574962616
residual,2,24,0.6778777837753296,0.49575045704841614
ffn,0,0,0.931304931640625,-0.009481492452323437
ffn,0,1,0.27882447838783264,0.9368628859519958
ffn,0,2,0.0034915683791041374,0.9999935626983643
ffn,0,3,2.763294730812049e-07,1.0
ffn,0,4,3.042374032702355e-07,1.0
ffn,0,5,2.516256358831015e-07,1.0
ffn,0,6,2.432961991871707e-07,1.0
ffn,0,7,2.0200630501676642e-07,1.0
ffn,0,8,3.427552996981831e-07,1.0
ffn,0,9,2.627935202781373e-07,1.0
ffn,0,10,2.2046839376343996e-07,1.0
ffn,0,11,2.2643754959972284e-07,1.0
ffn,0,12,2.502571874174464e-07,1.0
ffn,0,13,2.457906020936207e-07,1.0
ffn,0,14,3.1685667067904433e-07,1.0
ffn,0,15,2.8251955086489033e-07,1.0
ffn,0,16,2.3510538937898673e-07,1.0
ffn,0,17,2.574657287368609e-07,1.0
ffn,0,18,2.778479313292337e-07,1.0
ffn,0,19,2.446396933919459e-07,1.0
ffn,0,20,2.9757165975752287e-07,1.0
ffn,0,21,3.1851476478550467e-07,1.0
ffn,0,22,2.3270804661024158e-07,1.0
ffn,0,23,2.8543317398543877e-07,1.0
ffn,0,24,2.4051232117017207e-07,1.0
ffn,1,0,0.9080540537834167,-0.0015562799526378512
ffn,1,1,0.2933526635169983,0.9280363321304321
ffn,1,2,0.005391985177993774,0.9999839663505554
ffn,1,3,2.7042221972806146e-07,1.0
ffn,1,4,2.5806929215832497e-07,1.0
ffn,1,5,2.6666936037145206e-07,1.0
ffn,1,6,1.9420795638325217e-07,1.0
ffn,1,7,2.9237142484817014e-07,1.0
ffn,1,8,2.7312239581078757e-07,1.0
ffn,1,9,2.7762342824644293e-07,1.0
ffn,1,10,2.5631052835706214e-07,1.0
ffn,1,11,2.5065799036383396e-07,1.0
ffn,1,12,3.1556777457808494e-07,1.0
ffn,1,13,2.757626020866155e-07,1.0
ffn,1,14,2.453236618293886e-07,1.0
ffn,1,15,2.824544367285853e-07,1.0
ffn,1,16,2.749241616584186e-07,1.0
ffn,1,17,1.9951855279032316e-07,1.0
ffn,1,18,2.597930119918601e-07,1.0
ffn,1,19,3.0365524139597255e-07,1.0
ffn,1,20,2.2989691217389918e-07,1.0
ffn,1,21,1.9464823708403856e-07,1.0
ffn,1,22,2.6493773930269526e-07,1.0
ffn,1,23,2.4778282181614486e-07,1.0
ffn,1,24,2.3913889890536666e-07,1.0
ffn,2,0,0.9291134476661682,0.002073255367577076
ffn,2,1,0.2830697298049927,0.9320084452629089
ffn,2,2,0.004707019310444593,0.9999849200248718
ffn,2,3,2.759742301350343e-07,1.0
ffn,2,4,3.120255200883548e-07,1.0
ffn,2,5,2.337659736895148e-07,1.0
ffn,2,6,3.24862924117042e-07,1.0
ffn,2,7,2.8818521968787536e-07,1.0
ffn,2,8,2.808891395034152e-07,1.0
ffn,2,9,2.550879685259133e-07,1.0
ffn,2,10,2.592139765056345e-07,1.0
ffn,2,11,2.6376210371381603e-07,1.0
ffn,2,12,3.1221239282785973e-07,1.0
ffn,2,13,2.945710946278268e-07,1.0
ffn,2,14,2.450680085530621e-07,1.0
ffn,2,15,2.658686355516693e-07,1.0
ffn,2,16,2.590299459370726e-07,1.0
ffn,2,17,3.433409858644154e-07,1.0
ffn,2,18,2.93973556608762e-07,1.0
ffn,2,19,3.314381444852188e-07,1.0
ffn,2,20,2.8700344500975916e-07,1.0
ffn,2,21,2.8524010531327804e-07,1.0
ffn,2,22,2.7600270868788357e-07,1.0
ffn,2,23,2.125900095961697e-07,1.0
ffn,2,24,2.3136225024700252e-07,1.0
vanilla,0,0,0.931304931640625,-0.009481492452323437
vanilla,0,1,0.9524428248405457,0.0327150784432888
vanilla,0,2,0.925130307674408,0.0630633756518364
vanilla,0,3,0.8736404776573181,0.09590309113264084
vanilla,0,4,0.9114032983779907,0.12473134696483612
vanilla,0,5,0.9306355714797974,0.1576109081506729
vanilla,0,6,0.9361060261726379,0.12910088896751404
vanilla,0,7,0.9066225290298462,0.16695399582386017
vanilla,0,8,0.8780964016914368,0.18823587894439697
vanilla,0,9,0.8638155460357666,0.22870762646198273
vanilla,0,10,0.8697088360786438,0.23922327160835266
vanilla,0,11,0.866796612739563,0.2652343809604645
vanilla,0,12,0.8512652516365051,0.2719491124153137
vanilla,0,13,0.792462944984436,0.28853511810302734
vanilla,0,14,0.7861734628677368,0.31964027881622314
